room,our_IF_SHAP_precision,our_IF_SHAP_recall,our_IF_SHAP_f1,Autoencoder_P90_precision,Autoencoder_P90_recall,Autoencoder_P90_f1,Autoencoder_P98_precision,Autoencoder_P98_recall,Autoencoder_P98_f1,Isolation_Forest_precision,Isolation_Forest_recall,Isolation_Forest_f1,OC_SVM_precision,OC_SVM_recall,OC_SVM_f1
BATHROOM,1.0,0.4561,0.6265,0.85,1.0,0.92,1.0,1.0,1.0,0.97,0.8,0.87,0.79,1.0,0.88
BEDROOM,0.8254,1.0,0.9043,0.73,1.0,0.85,0.93,1.0,0.96,0.97,0.8,0.87,0.79,1.0,0.88
KITCHEN,0.9146,1.0,0.9554,0.88,1.0,0.94,0.96,1.0,0.98,0.97,0.8,0.87,0.79,1.0,0.88
LIVING_ROOM,0.9608,0.7778,0.8596,0.86,1.0,0.93,0.95,1.0,0.98,0.97,0.8,0.87,0.79,1.0,0.88
